tf	RCmodel	canonical	RCaugmented	double
Exd-Scr	0.975611360744	0.972319839522	0.975664678961	0.975693918765
Exd-Lab	0.981008743867	0.982429401949	0.984433327802	0.985687721521
Exd-Pb	0.960583407432	0.965919721872	0.966874305159	0.964988850057
Exd-Dfd	0.971823250875	0.977222494781	0.979013022035	0.979903137311
Exd-Antp	0.93766406551	0.94189311564	0.945841170847	0.946707349271
Exd-Ubx	0.984586440958	0.98099276796	0.98510073591	0.988031134941
Exd-AbdA	0.968019183725	0.968614656478	0.969185795635	0.976038107648
Exd-AbdB	0.93584484607	0.936117917299	0.945079989731	0.940660394728
