cluster_1	ubx_m74_FILTER_LEN11_73	FILTER_LEN11_73
cluster_2	ubx_m18_FILTER_LEN11_17	FILTER_LEN11_17
cluster_3	ubx_m65_FILTER_LEN11_64	FILTER_LEN11_64
cluster_4	ubx_m100_FILTER_LEN11_99	FILTER_LEN11_99
cluster_5	ubx_m14_FILTER_LEN11_13	FILTER_LEN11_13
cluster_6	ubx_m17_FILTER_LEN11_16	FILTER_LEN11_16
cluster_7	ubx_m1_FILTER_LEN11_0	FILTER_LEN11_0
cluster_8	ubx_m20_FILTER_LEN11_19	FILTER_LEN11_19
cluster_9	ubx_m21_FILTER_LEN11_20	FILTER_LEN11_20
cluster_10	ubx_m23_FILTER_LEN11_22	FILTER_LEN11_22
cluster_11	ubx_m25_FILTER_LEN11_24	FILTER_LEN11_24
cluster_12	ubx_m27_FILTER_LEN11_26	FILTER_LEN11_26
cluster_13	ubx_m28_FILTER_LEN11_27	FILTER_LEN11_27
cluster_14	ubx_m2_FILTER_LEN11_1	FILTER_LEN11_1
cluster_15	ubx_m32_FILTER_LEN11_31	FILTER_LEN11_31
cluster_16	ubx_m33_FILTER_LEN11_32	FILTER_LEN11_32
cluster_17	ubx_m39_FILTER_LEN11_38	FILTER_LEN11_38
cluster_18	ubx_m42_FILTER_LEN11_41	FILTER_LEN11_41
cluster_19	ubx_m44_FILTER_LEN11_43	FILTER_LEN11_43
cluster_20	ubx_m46_FILTER_LEN11_45	FILTER_LEN11_45
cluster_21	ubx_m50_FILTER_LEN11_49	FILTER_LEN11_49
cluster_22	ubx_m56_FILTER_LEN11_55	FILTER_LEN11_55
cluster_23	ubx_m5_FILTER_LEN11_4	FILTER_LEN11_4
cluster_24	ubx_m61_FILTER_LEN11_60	FILTER_LEN11_60
cluster_25	ubx_m62_FILTER_LEN11_61	FILTER_LEN11_61
cluster_26	ubx_m63_FILTER_LEN11_62	FILTER_LEN11_62
cluster_27	ubx_m67_FILTER_LEN11_66	FILTER_LEN11_66
cluster_28	ubx_m68_FILTER_LEN11_67	FILTER_LEN11_67
cluster_29	ubx_m6_FILTER_LEN11_5	FILTER_LEN11_5
cluster_30	ubx_m71_FILTER_LEN11_70	FILTER_LEN11_70
cluster_31	ubx_m75_FILTER_LEN11_74	FILTER_LEN11_74
cluster_32	ubx_m78_FILTER_LEN11_77	FILTER_LEN11_77
cluster_33	ubx_m79_FILTER_LEN11_78	FILTER_LEN11_78
cluster_34	ubx_m80_FILTER_LEN11_79	FILTER_LEN11_79
cluster_35	ubx_m81_FILTER_LEN11_80	FILTER_LEN11_80
cluster_36	ubx_m82_FILTER_LEN11_81	FILTER_LEN11_81
cluster_37	ubx_m83_FILTER_LEN11_82	FILTER_LEN11_82
cluster_38	ubx_m90_FILTER_LEN11_89	FILTER_LEN11_89
cluster_39	ubx_m97_FILTER_LEN11_96	FILTER_LEN11_96
cluster_40	ubx_m99_FILTER_LEN11_98	FILTER_LEN11_98
