cluster_1	FILTER_LEN11_40,FILTER_LEN11_7,FILTER_LEN11_15,FILTER_LEN11_87,FILTER_LEN11_65,FILTER_LEN11_6,FILTER_LEN11_2,FILTER_LEN11_71,FILTER_LEN11_53,FILTER_LEN11_9,FILTER_LEN11_18,FILTER_LEN11_39,FILTER_LEN11_11,FILTER_LEN11_86,FILTER_LEN11_83,FILTER_LEN11_46,FILTER_LEN11_54,FILTER_LEN11_3,FILTER_LEN11_12,FILTER_LEN11_76,FILTER_LEN11_69,FILTER_LEN11_68,FILTER_LEN11_75,FILTER_LEN11_28,FILTER_LEN11_73,FILTER_LEN11_91,FILTER_LEN11_48,FILTER_LEN11_92,FILTER_LEN11_34,FILTER_LEN11_58,FILTER_LEN11_95,FILTER_LEN11_47,FILTER_LEN11_59,FILTER_LEN11_56,FILTER_LEN11_94,FILTER_LEN11_44,FILTER_LEN11_88,FILTER_LEN11_25,FILTER_LEN11_93,FILTER_LEN11_97,FILTER_LEN11_36,FILTER_LEN11_72,FILTER_LEN11_50,FILTER_LEN11_85,FILTER_LEN11_14,FILTER_LEN11_23,FILTER_LEN11_84,FILTER_LEN11_37,FILTER_LEN11_51,FILTER_LEN11_30,FILTER_LEN11_35,FILTER_LEN11_52
cluster_2	FILTER_LEN11_42,FILTER_LEN11_17,FILTER_LEN11_57,FILTER_LEN11_10,FILTER_LEN11_8,FILTER_LEN11_63,FILTER_LEN11_90
cluster_3	FILTER_LEN11_21,FILTER_LEN11_64,FILTER_LEN11_29,FILTER_LEN11_33
cluster_4	FILTER_LEN11_99
cluster_5	FILTER_LEN11_13
cluster_6	FILTER_LEN11_16
cluster_7	FILTER_LEN11_0
cluster_8	FILTER_LEN11_19
cluster_9	FILTER_LEN11_20
cluster_10	FILTER_LEN11_22
cluster_11	FILTER_LEN11_24
cluster_12	FILTER_LEN11_26
cluster_13	FILTER_LEN11_27
cluster_14	FILTER_LEN11_1
cluster_15	FILTER_LEN11_31
cluster_16	FILTER_LEN11_32
cluster_17	FILTER_LEN11_38
cluster_18	FILTER_LEN11_41
cluster_19	FILTER_LEN11_43
cluster_20	FILTER_LEN11_45
cluster_21	FILTER_LEN11_49
cluster_22	FILTER_LEN11_55
cluster_23	FILTER_LEN11_4
cluster_24	FILTER_LEN11_60
cluster_25	FILTER_LEN11_61
cluster_26	FILTER_LEN11_62
cluster_27	FILTER_LEN11_66
cluster_28	FILTER_LEN11_67
cluster_29	FILTER_LEN11_5
cluster_30	FILTER_LEN11_70
cluster_31	FILTER_LEN11_74
cluster_32	FILTER_LEN11_77
cluster_33	FILTER_LEN11_78
cluster_34	FILTER_LEN11_79
cluster_35	FILTER_LEN11_80
cluster_36	FILTER_LEN11_81
cluster_37	FILTER_LEN11_82
cluster_38	FILTER_LEN11_89
cluster_39	FILTER_LEN11_96
cluster_40	FILTER_LEN11_98
