cluster_1	ubx_m13_FILTER_LEN11_12	FILTER_LEN11_12
cluster_2	ubx_m20_FILTER_LEN11_19	FILTER_LEN11_19
cluster_3	ubx_m27_FILTER_LEN11_26	FILTER_LEN11_26
cluster_4	ubx_m59_FILTER_LEN11_58	FILTER_LEN11_58
cluster_5	ubx_m75_FILTER_LEN11_74	FILTER_LEN11_74
cluster_6	ubx_m52_FILTER_LEN11_51	FILTER_LEN11_51
cluster_7	ubx_m26_FILTER_LEN11_25	FILTER_LEN11_25
cluster_8	ubx_m37_FILTER_LEN11_36	FILTER_LEN11_36
cluster_9	ubx_m34_FILTER_LEN11_33	FILTER_LEN11_33
cluster_10	ubx_m79_FILTER_LEN11_78	FILTER_LEN11_78
cluster_11	ubx_m100_FILTER_LEN11_99	FILTER_LEN11_99
cluster_12	ubx_m10_FILTER_LEN11_9	FILTER_LEN11_9
cluster_13	ubx_m11_FILTER_LEN11_10	FILTER_LEN11_10
cluster_14	ubx_m12_FILTER_LEN11_11	FILTER_LEN11_11
cluster_15	ubx_m14_FILTER_LEN11_13	FILTER_LEN11_13
cluster_16	ubx_m15_FILTER_LEN11_14	FILTER_LEN11_14
cluster_17	ubx_m17_FILTER_LEN11_16	FILTER_LEN11_16
cluster_18	ubx_m18_FILTER_LEN11_17	FILTER_LEN11_17
cluster_19	ubx_m1_FILTER_LEN11_0	FILTER_LEN11_0
cluster_20	ubx_m21_FILTER_LEN11_20	FILTER_LEN11_20
cluster_21	ubx_m22_FILTER_LEN11_21	FILTER_LEN11_21
cluster_22	ubx_m25_FILTER_LEN11_24	FILTER_LEN11_24
cluster_23	ubx_m28_FILTER_LEN11_27	FILTER_LEN11_27
cluster_24	ubx_m29_FILTER_LEN11_28	FILTER_LEN11_28
cluster_25	ubx_m32_FILTER_LEN11_31	FILTER_LEN11_31
cluster_26	ubx_m33_FILTER_LEN11_32	FILTER_LEN11_32
cluster_27	ubx_m36_FILTER_LEN11_35	FILTER_LEN11_35
cluster_28	ubx_m39_FILTER_LEN11_38	FILTER_LEN11_38
cluster_29	ubx_m41_FILTER_LEN11_40	FILTER_LEN11_40
cluster_30	ubx_m42_FILTER_LEN11_41	FILTER_LEN11_41
cluster_31	ubx_m43_FILTER_LEN11_42	FILTER_LEN11_42
cluster_32	ubx_m44_FILTER_LEN11_43	FILTER_LEN11_43
cluster_33	ubx_m45_FILTER_LEN11_44	FILTER_LEN11_44
cluster_34	ubx_m46_FILTER_LEN11_45	FILTER_LEN11_45
cluster_35	ubx_m48_FILTER_LEN11_47	FILTER_LEN11_47
cluster_36	ubx_m50_FILTER_LEN11_49	FILTER_LEN11_49
cluster_37	ubx_m51_FILTER_LEN11_50	FILTER_LEN11_50
cluster_38	ubx_m53_FILTER_LEN11_52	FILTER_LEN11_52
cluster_39	ubx_m55_FILTER_LEN11_54	FILTER_LEN11_54
cluster_40	ubx_m56_FILTER_LEN11_55	FILTER_LEN11_55
cluster_41	ubx_m57_FILTER_LEN11_56	FILTER_LEN11_56
cluster_42	ubx_m5_FILTER_LEN11_4	FILTER_LEN11_4
cluster_43	ubx_m61_FILTER_LEN11_60	FILTER_LEN11_60
cluster_44	ubx_m62_FILTER_LEN11_61	FILTER_LEN11_61
cluster_45	ubx_m63_FILTER_LEN11_62	FILTER_LEN11_62
cluster_46	ubx_m64_FILTER_LEN11_63	FILTER_LEN11_63
cluster_47	ubx_m68_FILTER_LEN11_67	FILTER_LEN11_67
cluster_48	ubx_m70_FILTER_LEN11_69	FILTER_LEN11_69
cluster_49	ubx_m71_FILTER_LEN11_70	FILTER_LEN11_70
cluster_50	ubx_m72_FILTER_LEN11_71	FILTER_LEN11_71
cluster_51	ubx_m73_FILTER_LEN11_72	FILTER_LEN11_72
cluster_52	ubx_m7_FILTER_LEN11_6	FILTER_LEN11_6
cluster_53	ubx_m80_FILTER_LEN11_79	FILTER_LEN11_79
cluster_54	ubx_m82_FILTER_LEN11_81	FILTER_LEN11_81
cluster_55	ubx_m83_FILTER_LEN11_82	FILTER_LEN11_82
cluster_56	ubx_m84_FILTER_LEN11_83	FILTER_LEN11_83
cluster_57	ubx_m85_FILTER_LEN11_84	FILTER_LEN11_84
cluster_58	ubx_m87_FILTER_LEN11_86	FILTER_LEN11_86
cluster_59	ubx_m89_FILTER_LEN11_88	FILTER_LEN11_88
cluster_60	ubx_m8_FILTER_LEN11_7	FILTER_LEN11_7
cluster_61	ubx_m90_FILTER_LEN11_89	FILTER_LEN11_89
cluster_62	ubx_m91_FILTER_LEN11_90	FILTER_LEN11_90
cluster_63	ubx_m93_FILTER_LEN11_92	FILTER_LEN11_92
cluster_64	ubx_m94_FILTER_LEN11_93	FILTER_LEN11_93
cluster_65	ubx_m95_FILTER_LEN11_94	FILTER_LEN11_94
cluster_66	ubx_m96_FILTER_LEN11_95	FILTER_LEN11_95
cluster_67	ubx_m98_FILTER_LEN11_97	FILTER_LEN11_97
cluster_68	ubx_m99_FILTER_LEN11_98	FILTER_LEN11_98
cluster_69	ubx_m9_FILTER_LEN11_8	FILTER_LEN11_8
